crawlingpage_address,crawlingpage_details,crawlingpage_image
"1524-1528 Irving St,San Francisco, CA","$17,000,2,900sf Retail Building,Built in 1922",https://images1.loopnet.com/i2/I1nsJy3q7S-58rUjgYxSR_IznskklikfC6Yc9FtCezg/115/image.jpg
"2567 Mission St,San Francisco, CA","$6,300,000,6.37% Cap Rate,15,036sf Retail Building",https://images1.loopnet.com/i2/aZoHNi3FluRthtig7C06i7qLh8VfDyNl6uqhF86Mw8c/115/image.jpg
"340 Division St,San Francisco, CA","$5,250,000,17,000sf Office Building,Investment Opportunity",https://images1.loopnet.com/i2/9OsOTFx5P6HPCNCbAxwikC_KensTPZd_Ti97ZZ20lG8/115/image.jpg
"1853-1855 Powell St,San Francisco, CA","$1,950,000,2,425sf Retail Building,Built in 1906",https://images1.loopnet.com/i2/8luHhK46Fh7BoVV-cvKV63tUVpesoVy1wBpYImlpQaI/115/image.jpg
"1501 Folsom St,San Francisco, CA","$4,650,000,9,287sf Retail Building,Built in 1926",https://images1.loopnet.com/i2/iMOxfxikL2mXylZvgMMBh8AALgzLyhXZOjuEfscUkc0/115/image.jpg
"916-920 Clay St,San Francisco, CA","$1,990,000,3,681sf Retail Building,Built in 1907",https://images1.loopnet.com/i2/xBpVj6w-u0-uSDjW7SKW3js6wEocokfwaTIA2c_G_rQ/115/image.jpg
"1331 Columbus Ave,San Francisco, CA","$5,250,000,5.28% Cap Rate,7,764sf Office Building",https://images1.loopnet.com/i2/gisHZuG4zTvbK2nTOYQFUiHI8gij8VC4iiheR4R7Vcs/115/image.jpg
"2301-2309 Webster St,San Francisco, CA","$3,750,000,3.80% Cap Rate,5,276sf Retail Building",https://images1.loopnet.com/i2/Y5FksrzANAUhSKPGWG0QohxrmZFj1z7mWGPQgiX1zOg/115/image.jpg
"3398 Balboa St,San Francisco, CA","$4,480,000,14,208sf Retail Building,Built in 1975",https://images1.loopnet.com/i2/ehNUSDac3sy-9xzRxSbtgoNTLt2N9VbRSgPioatXgyo/115/image.jpg
"2317-2335 Market St,San Francisco, CA","$6,495,000,4.62% Cap Rate,15,695sf Retail Building",https://images1.loopnet.com/i2/Pf8W_KeZIF8MsTJz-Q4gH_ZmUEka0JdBbNk0_S87wgs/115/image.jpg
"200 Townsend St,San Francisco, CA","$5,500,000,1 Unit Available,8,883 SF Unit",https://images1.loopnet.com/i2/dKphFWu8tFwrJ1Phzp2Z8mjaFPF4JmLLSqV9UhRWO6E/115/image.jpg
